RegionName	StateName	2008-06	2008-07	2008-08	2008-09	2008-10	2008-11	2008-12	2009-01	2009-02	2009-03	2009-04	2009-05	2009-06	2009-07	2009-08	2009-09	2009-10	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10	2011-11	2011-12	2012-01	2012-02	2012-03	2012-04	2012-05	2012-06	2012-07	2012-08	2012-09	2012-10	2012-11	2012-12	2013-01	2013-02	2013-03	2013-04	2013-05	2013-06	2013-07	2013-08	2013-09	2013-10	2013-11	2013-12	2014-01	2014-02	2014-03	2014-04	2014-05	2014-06	2014-07	2014-08	2014-09	2014-10	2014-11	2014-12	2015-01	2015-02	2015-03	2015-04	2015-05	2015-06	2015-07
6001	CT	41	26	33	28	19	29	13	6	14	9	14	17	27	40	20	23	27	18	22	17	11	17	23	21	37	23	27	18	20	25	12	8	10	18	25	20	34	27	33	23	12	14	28	12	15	17	25	21	38	31	23	27	23	30	27	19	9	23	28	36	30	42	30	22	24	20	14	15	9	19	23	22	41	35	29	30	26	30	28	19	19	15	21	21	37	30
6002	CT	28	28	23	24	32	19	32	13	11	15	18	17	27	20	27	26	20	26	23	14	17	15	23	23	25	15	21	20	15	22	14	11	7	14	19	15	20	17	16	16	16	16	16	15	9	16	21	17	22	18	31	13	23	17	26	17	11	18	19	25	24	19	29	22	25	23	15	13	12	12	25	16	21	26	31	17	21	18	18	13	24	14	28	25	22	21
6010	CT	52	66	40	62	58	48	57	28	27	44	39	41	51	70	76	64	76	69	49	24	30	48	57	66	82	64	47	39	32	38	51	27	33	37	33	43	51	28	36	39	39	38	37	33	31	32	48	55	57	48	62	37	71	62	46	42	31	52	34	67	48	69	51	56	54	31	59	28	24	35	36	44	59	64	50	63	61	35	54	33	20	26	36	51	72	20
6013	CT	9	21	20	8	7	6	10	3	5	7	7	10	13	7	9	7	11	6	12	9	7	8	12	7	15	11	13	5	8	10	8	4	2	8	17	10	11	5	13	6	10	7	6	7	7	8	5	13	12	10	4	11	11	9	9	7	8	6	6	6	9	21	12	11	11	4	11	4	4	4	8	12	16	9	5	11	4	3	10	8	7	6	5	5	11	6
6016	CT	7	6	7	8	6	6	9	4	5	7	7	5	8	9	6	8	8	7	6	8	1	1	5	6	10	4	6	4	1	6	5	1	2	5	6	4	4	7	4	4	7	5	4	1	3	3	7	9	5	10	9	4	7	4	7	6	4	5	3	0	7	6	7	10	8	10	5	4	5	5	5	5	7	10	9	7	5	6	4	1	4	2	4	7	6	1
6018	CT	1	6	3	4	4	2	1	4	2	3	0	1	8	2	3	0	2	5	3	1	0	5	2	3	3	0	3	1	1	1	2	1	1	0	3	2	2	1	4	1	1	1	2	1	3	2	4	4	2	2	0	3	1	2	2	3	3	0	0	2	5	2	0	3	0	3	1	0	2	1	1	0	2	3	3	1	3	5	1	1	1	1	2	3	3	0
6019	CT	15	18	12	12	11	7	5	6	3	10	5	7	7	7	7	7	12	8	12	5	5	7	5	11	16	8	10	6	6	8	5	3	4	5	10	6	8	6	5	8	9	8	6	5	3	10	9	15	10	15	13	6	14	9	11	9	4	6	5	11	12	20	18	8	11	3	2	2	4	1	3	2	4	2	4	11	6	10	13	7	4	3	12	9	18	5
6021	CT	3	1	2	1	1	2	2	1	1	2	2	0	2	1	1	0	1	1	2	2	0	1	1	0	2	2	1	4	1	1	1	2	1	2	0	2	2	2	1	0	1	0	0	1	0	1	0	0	1	2	4	0	2	1	2	0	2	0	0	2	2	1	2	0	3	2	0	1	0	0	1	1	1	0	1	1	1	0	2	0	0	1	2	1	1	0
6026	CT	6	12	10	7	9	5	5	1	3	6	6	7	10	10	11	9	8	5	9	3	2	2	5	9	9	6	5	6	5	8	7	5	4	4	3	4	9	0	10	2	5	3	5	4	4	3	6	5	9	4	2	2	12	6	9	10	4	5	2	9	6	12	7	6	8	3	6	5	1	8	6	5	5	10	7	4	5	7	5	0	1	1	7	3	7	4
6027	CT	1	2	1	1	1	1	0	1	0	1	0	0	2	1	1	2	0	2	1	1	1	1	0	2	0	2	0	3	0	0	1	0	0	1	0	0	1	3	1	0	0	0	0	2	0	1	3	1	3	2	0	1	1	1	1	1	0	0	0	1	1	0	0	0	4	2	2	0	3	0	0	0	0	0	0	1	2	0	2	2	0	2	2	2	1	0
