RegionName	City	State	CountyName	2008-06	2008-07	2008-08	2008-09	2008-10	2008-11	2008-12	2009-01	2009-02	2009-03	2009-04	2009-05	2009-06	2009-07	2009-08	2009-09	2009-10	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10	2011-11	2011-12	2012-01	2012-02	2012-03	2012-04	2012-05	2012-06	2012-07	2012-08	2012-09	2012-10	2012-11	2012-12	2013-01	2013-02	2013-03	2013-04	2013-05	2013-06	2013-07	2013-08	2013-09	2013-10	2013-11	2013-12	2014-01	2014-02	2014-03	2014-04	2014-05	2014-06	2014-07	2014-08	2014-09	2014-10	2014-11	2014-12	2015-01	2015-02	2015-03	2015-04	2015-05	2015-06	2015-07
6001	Avon	CT	Hartford	378100	378000	378600	380100	381200	381000	380200	380100	380700	380900	380300	378800	377800	377200	375900	372600	369800	367900	366300	365300	366000	366600	366500	366700	366900	366700	366400	365900	365200	365200	366600	368000	366500	362000	357400	354400	353100	352100	350900	349700	349500	349300	348700	348100	348000	347600	347200	347600	348100	348200	347800	347200	346300	345700	345300	345900	346200	346200	346500	346800	346600	347000	347600	349000	350700	352400	353800	354100	353700	355600	359200	362400	364200	364100	362900	361600	361400	362000	361500	359700	359200	359400	358700	358000	357600	356900
6002	Bloomfield	CT	Hartford	223400	222300	220700	219400	218600	217700	216100	213900	212000	210600	209400	208200	207000	206000	205400	205200	205300	205600	205200	204300	204000	203700	202800	201800	201300	200800	200000	198900	198100	197600	197400	197600	197100	195500	193400	191400	189500	187700	186300	184900	183500	182400	181900	182300	182900	183000	182500	182000	181600	181100	180200	179900	179900	179700	180000	180900	181400	181200	181000	180600	180500	181300	182300	182200	182000	182200	182100	181400	180900	182100	184600	186900	188100	188600	189000	189900	190900	191500	191300	190400	190100	190200	190100	189900	189800	189500
6010	Bristol	CT	Hartford	205400	204300	203100	202200	202000	202000	201800	200900	199600	198700	198200	197400	196300	195800	195600	195600	196100	197000	197200	196700	196200	195600	195300	195100	194600	194000	193400	192200	190600	189200	188300	187500	186400	184800	183500	182600	181700	180700	180100	179800	179300	178300	177400	177200	177300	177400	177200	177000	176800	176700	176400	175900	175300	175100	175200	175600	175900	176000	176300	176800	177100	177100	177100	177000	176700	176300	176100	175800	175500	175500	174800	173900	173200	172500	171800	171100	170800	170700	170500	170300	170100	169800	169600	169400	169800	170400
6013	Burlington	CT	Hartford	321500	321300	320800	319500	318100	317300	317700	319700	321300	320900	319500	318200	317100	317400	318500	318500	317800	318600	319500	319600	319100	318300	317000	315800	314400	312500	310500	308900	307500	306200	305400	304600	303300	301700	300000	298900	298400	298100	297500	296600	296200	296100	296200	296800	297900	298800	298900	298100	297000	296600	296600	296600	296700	296900	296900	296600	296300	296500	297100	297300	296500	295700	296300	297300	298500	300400	302700	304300	305600	306900	308000	309900	312000	312200	311100	311400	311800	310100	306800	303600	300900	298500	296000	294000	293100	292800
6016	Broad Brook	CT	Hartford	259400	260300	260600	260200	260100	260000	260300	261700	262700	261800	260200	258700	257500	256100	254300	252000	249900	248600	247600	246800	246200	245200	244100	242800	240100	237400	235900	234800	233800	233300	233000	232200	231600	230900	230100	230100	230600	230600	230500	231100	231200	230600	230300	230800	230500	230500	230700	230400	230000	229500	228100	226900	226800	227700	228600	229000	228300	227400	227300	227300	227100	227100	228500	228400	228000	228000	227200	224600	223500	223700	223300	222300	221600	221500	221000	220400	219400	218100	216500	215900	216400	216600	216000	215500	216000	216600
6018	Canaan	CT	Litchfield	225900	224500	220800	216900	213900	211100	209700	208600	207200	206400	207000	205300	201900	201300	203400	204900	205400	206000	206100	206100	205900	206000	203900	200900	198400	196800	195500	194900	194100	192800	191400	190100	189500	188800	188100	187600	187300	187000	186100	184900	184000	183000	181300	179200	177100	175600	175100	174600	173600	172400	171100	169600	168000	166900	167000	167800	168900	169400	169100	169000	169900	170600	169900	169600	170700	172100	172200	171900	171600	170600	170600	172100	174200	174700	174500	174900	176800	178100	178600	180100	182800	184900	184400	182200	179300	176500
6019	Canton	CT	Hartford	231800	232100	232800	232900	233000	233500	234800	234800	233500	232500	232100	230800	228800	227300	226400	226100	226000	226200	225900	225100	224700	225000	225200	226000	226900	227300	227200	227100	226300	225000	223700	223000	222600	222600	222000	220800	219600	218100	216500	215100	214500	215100	215800	215800	215500	214300	212000	210000	208800	208000	206800	205400	204800	205000	205400	205900	205800	206400	208000	209600	210400	211100	211300	211800	212400	212200	212200	212500	213200	214100	214800	215400	217400	219200	219900	220900	221500	219400	214800	210400	207300	204800	203000	200900	197000	192900
6021	Colebrook	CT	Litchfield	265400	266600	267700	267900	267900	267700	264600	260000	255700	250800	246700	246400	248800	250600	252100	255300	261200	266100	269000	269500	269700	270700	270600	269100	265500	259900	256000	254600	252100	248600	246100	244700	243300	241300	239400	238400	236500	233200	228600	224400	221800	220100	221000	222700	222300	220600	220100	219200	219600	220900	222600	224400	225000	224500	224500	224900	225200	224800	224300	224500	224800	225000	224100	222000	219700	218700	219800	222200	224000	226400	229800	233300	235500	235700	236400	237700	239700	241000	241100	241000	242300	243500	242600	239900	236700	234600
6026	East Granby	CT	Hartford	264100	263600	263300	262800	263700	266000	267300	266600	265500	264800	263600	261700	260200	259100	258600	258200	256600	254700	253600	253100	253000	252900	253300	253800	254300	254200	253500	252900	253300	254000	254400	254400	253000	250900	249000	246900	244900	244400	244700	244600	243700	243300	243600	244500	245000	244700	243300	241900	241300	240800	239700	238400	237500	237600	238000	238500	239000	239900	240100	239100	238100	238700	239700	241100	242800	245300	249400	253400	255600	256800	258300	260200	261300	260500	260100	260900	259900	255400	249000	244100	241800	241100	241300	242200	243300	244100
6027	Hartland	CT	Hartford	249900	250200	251800	253300	254800	256100	257400	258900	260500	260700	260800	260000	257700	254700	252000	249600	248300	247500	246300	245300	244400	242800	240900	241000	242700	244300	244700	244500	243900	244100	243900	242500	241500	241000	239500	237800	236900	236900	237700	237200	235200	233400	232600	232300	232000	232500	232200	230400	228700	227100	224700	223200	223300	223800	224100	224700	224900	224300	225300	227200	229400	232500	235000	236700	238100	239900	242400	245100	245800	245000	244000	243100	241200	238600	237600	237400	236800	236600	236400	235900	235900	236700	237200	237400	237800	238400
